# BUSCO version is: 3.0.2 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /bigdata/stajichlab/shared/projects/Chytrid/Chytrid_Phylogenomics/LCG/Assembly/genomes/Borealophlyctis_nickersoniae_WJD170.dipspades.fasta -o Borealophlyctis_nickersoniae_WJD170.dipspades -l /bigdata/operations/pkgadmin/srv/projects/db/BUSCO/v9/fungi_odb9/ -m genome -c 4 -t /scratch/978385_45/ -sp batrachochytrium_dendrobatidis_G2
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C00SU	Complete	117_contig_59354_length	36001	44129	594.6	807
EOG092C00WD	Complete	286_contig_30225_length	9267	25209	1683.3	1312
EOG092C02J3	Complete	1101_contig_11082_length	3700	10557	1400.5	1144
EOG092C038B	Complete	291_contig_29982_length	27316	29982	504.2	450
EOG092C03KT	Complete	218_contig_35710_length	8646	14642	348.2	490
EOG092C07CA	Complete	119_contig_58406_length	49089	58143	787.3	766
EOG092C08KH	Complete	486_contig_21509_length	13846	19049	703.3	661
EOG092C097K	Complete	1276_contig_9517_length	4539	8804	744.1	602
EOG092C0B3U	Complete	161_contig_44235_length	21034	25073	529.3	594
EOG092C0BAH	Complete	115_contig_59849_length	11440	16214	868.8	742
EOG092C0BPW	Fragmented	582_contig_18669_length	11481	18669	297.7	356
EOG092C0C5J	Complete	124_contig_53830_length	23885	32856	1252.8	904
EOG092C0C7Z	Complete	126_contig_52806_length	196	8281	193.9	401
EOG092C0CHR	Fragmented	1931_contig_5671_length	1	5488	786.8	596
EOG092C0CZK	Fragmented	3070_contig_2394_length	1	1683	267.8	219
EOG092C0F0X	Complete	1608_contig_7244_length	2657	6422	883.1	672
EOG092C0I1P	Complete	363_contig_26548_length	15153	19108	855.2	543
EOG092C0JYF	Complete	537_contig_19966_length	9190	18141	377.9	623
EOG092C0K4D	Complete	156_contig_44961_length	11408	20288	789.4	614
EOG092C0KG1	Complete	772_contig_15422_length	2444	4832	444.2	576
EOG092C0KYA	Complete	777_contig_15337_length	10586	14370	241.3	279
EOG092C0N3X	Complete	2742_contig_3051_length	1	2784	523.7	485
EOG092C0OA7	Complete	1018_contig_12202_length	9322	12202	357.5	522
EOG092C0P21	Complete	944_contig_12932_length	5960	9736	1119.4	743
EOG092C0QZM	Complete	94_contig_92970_length	30039	34054	1046.0	799
EOG092C0RGR	Complete	864_contig_13976_length	7890	11662	768.6	658
EOG092C0ROF	Complete	3471_contig_1727_length	1	1727	317.3	344
EOG092C0ST1	Duplicated	116_contig_59715_length	41928	44508	817.4	469
EOG092C0ST1	Duplicated	787_contig_15161_length	3814	6302	766.0	532
EOG092C0TYK	Complete	154_contig_45240_length	26536	28683	271.8	247
EOG092C0U5S	Missing
EOG092C0UR7	Complete	714_contig_16294_length	6147	9085	523.5	403
EOG092C0VEN	Complete	195_contig_38452_length	7738	11981	577.4	533
EOG092C0WBD	Complete	177_contig_42080_length	32892	35412	617.7	486
EOG092C0WZC	Complete	95_contig_89810_length	65112	67790	461.4	386
EOG092C0XD0	Complete	1638_contig_7075_length	719	3503	275.8	269
EOG092C0Y9M	Complete	350_contig_27095_length	8158	10964	129.8	278
EOG092C0YZZ	Complete	920_contig_13212_length	1351	5589	757.8	473
EOG092C0ZT0	Complete	1485_contig_7917_length	2900	6341	488.5	445
EOG092C11L7	Complete	1915_contig_5742_length	1037	5347	609.5	440
EOG092C11NN	Complete	221_contig_35310_length	11111	13747	943.3	529
EOG092C121R	Complete	92_contig_109222_length	95735	99477	590.4	526
EOG092C12O0	Complete	258_contig_32442_length	1604	4382	766.3	439
EOG092C12WO	Complete	36_contig_47220_length	18564	22335	349.2	444
EOG092C19ZG	Complete	394_contig_25198_length	14703	23113	1219.1	915
EOG092C1AHP	Complete	99_contig_77867_length	46987	49710	227.2	431
EOG092C1F4W	Complete	359_contig_26687_length	9605	11855	927.4	458
EOG092C1FRM	Complete	320_contig_28520_length	1	5760	380.7	373
EOG092C1ILX	Missing
EOG092C1JHE	Complete	2195_contig_4591_length	3222	4591	172.6	192
EOG092C1KCQ	Complete	2172_contig_4694_length	1607	4692	610.7	431
EOG092C1KNC	Complete	312_contig_28903_length	23859	28527	255.8	274
EOG092C1M1S	Complete	368_contig_26374_length	22709	25824	468.7	446
EOG092C1O5L	Complete	2376_contig_4030_length	1	2712	550.9	408
EOG092C1OUP	Complete	174_contig_42248_length	10180	22706	441.9	458
EOG092C1PRY	Complete	1259_contig_9658_length	3133	5249	546.7	410
EOG092C1RXZ	Complete	2842_contig_2832_length	288	2452	476.8	420
EOG092C1TLO	Duplicated	123_contig_54552_length	38190	42516	132.7	477
EOG092C1TLO	Duplicated	139_contig_48288_length	34450	38824	123.4	265
EOG092C1U6R	Complete	797_contig_14977_length	9320	11709	573.4	397
EOG092C1UDO	Complete	399_contig_24911_length	16348	21159	492.4	391
EOG092C1URX	Complete	2195_contig_4591_length	817	2803	617.8	366
EOG092C1VMQ	Complete	600_contig_18239_length	722	3595	477.5	367
EOG092C1VT8	Complete	2466_contig_3734_length	90	2624	628.7	393
EOG092C1W1B	Complete	1053_contig_11724_length	9146	11671	679.4	461
EOG092C1WBG	Complete	990_contig_12472_length	10888	12472	265.9	343
EOG092C1YG7	Complete	278_contig_30916_length	12114	13958	381.9	282
EOG092C1ZRG	Complete	815_contig_14782_length	4339	6734	380.9	272
EOG092C20OL	Complete	301_contig_29404_length	13924	16235	358.4	290
EOG092C21L2	Complete	141_contig_47752_length	7810	9641	649.3	410
EOG092C221B	Complete	1615_contig_7217_length	4446	6216	93.8	154
EOG092C22C1	Complete	877_contig_13839_length	9810	11675	554.1	376
EOG092C236M	Complete	106_contig_68494_length	32911	35404	534.3	436
EOG092C23X9	Complete	297_contig_29552_length	5391	7772	589.9	401
EOG092C24CZ	Complete	789_contig_15128_length	8782	11170	882.5	430
EOG092C24GU	Complete	101_contig_74975_length	46601	54165	349.6	401
EOG092C27SX	Complete	412_contig_24453_length	19102	20625	231.7	254
EOG092C28F5	Complete	1016_contig_12210_length	5990	7951	539.5	301
EOG092C28I3	Complete	94_contig_92970_length	10759	14643	1047.5	638
EOG092C2D1V	Complete	126_contig_52806_length	20353	22325	664.7	434
EOG092C2DPS	Complete	2152_contig_4773_length	2452	4773	460.2	340
EOG092C2GKC	Complete	540_contig_19829_length	10821	12771	487.1	364
EOG092C2GWG	Complete	163_contig_43835_length	29155	31371	97.5	84
EOG092C2HER	Complete	182_contig_41171_length	25608	26981	288.1	228
EOG092C2IFF	Complete	1735_contig_6636_length	4258	6550	458.5	347
EOG092C2IG9	Complete	131_contig_51557_length	22380	25460	264.5	208
EOG092C2JLG	Complete	769_contig_15444_length	1194	3434	266.2	232
EOG092C2LSI	Complete	395_contig_25152_length	15982	17802	301.3	204
EOG092C2M8E	Complete	705_contig_16472_length	3193	8786	118.3	151
EOG092C2MTS	Complete	334_contig_27757_length	16494	23009	202.8	226
EOG092C2OKO	Complete	297_contig_29552_length	2790	4890	620.5	333
EOG092C2Q7B	Missing
EOG092C2Q7F	Duplicated	103_contig_73651_length	54282	56401	621.4	441
EOG092C2Q7F	Duplicated	659_contig_17070_length	4078	6225	617.2	441
EOG092C2RKX	Complete	1112_contig_11023_length	2733	4023	237.3	300
EOG092C2S2R	Missing
EOG092C2S9V	Complete	279_contig_30664_length	24087	25376	621.0	350
EOG092C2SCC	Complete	615_contig_18015_length	14270	15829	608.7	341
EOG092C2SEF	Complete	438_contig_23335_length	1652	3133	630.3	356
EOG092C2SKV	Complete	179_contig_41832_length	17298	22691	373.1	323
EOG092C2SMS	Complete	251_contig_32853_length	15773	18486	203.4	204
EOG092C2TXG	Complete	94_contig_92970_length	70588	73331	422.8	371
EOG092C2UIQ	Missing
EOG092C2V3O	Complete	372_contig_26186_length	1509	3621	588.3	348
EOG092C2VGW	Fragmented	342_contig_27351_length	2529	3735	71.3	111
EOG092C2VJL	Complete	391_contig_25449_length	16306	18554	478.7	319
EOG092C2X60	Missing
EOG092C2X6U	Complete	750_contig_15739_length	6737	10090	602.8	384
EOG092C2YBO	Complete	1432_contig_8176_length	5732	7241	469.1	305
EOG092C2Z4E	Complete	267_contig_31575_length	7561	10442	254.9	278
EOG092C2ZCA	Complete	1008_contig_12280_length	6681	8439	432.5	313
EOG092C317A	Complete	107_contig_66949_length	56900	58542	414.8	295
EOG092C31ZS	Complete	2249_contig_4426_length	2884	4350	492.4	381
EOG092C330M	Complete	299_contig_29532_length	13498	15411	387.6	303
EOG092C33JO	Complete	386_contig_25603_length	12725	14358	368.6	303
EOG092C34FN	Complete	106_contig_68494_length	55756	57997	314.1	255
EOG092C34KH	Complete	2137_contig_4827_length	1738	3494	358.6	314
EOG092C355W	Complete	2002_contig_5350_length	209	4695	348.5	401
EOG092C35RK	Complete	328_contig_28000_length	2122	4691	314.8	233
EOG092C35SR	Complete	444_contig_22995_length	19930	22794	580.8	379
EOG092C36CW	Complete	202_contig_37323_length	22975	24920	451.3	276
EOG092C36IX	Complete	109_contig_65782_length	9640	11476	280.2	296
EOG092C36RH	Complete	121_contig_55021_length	17542	19971	251.0	284
EOG092C3703	Complete	1979_contig_5431_length	1972	3808	330.9	324
EOG092C37AK	Complete	2122_contig_4861_length	1863	3225	421.0	256
EOG092C38HU	Missing
EOG092C3D5H	Complete	1650_contig_7019_length	683	4232	314.6	430
EOG092C3DT5	Complete	259_contig_32353_length	23425	30699	304.5	321
EOG092C3DV0	Complete	828_contig_14488_length	3801	6211	297.5	255
EOG092C3ENF	Complete	563_contig_19004_length	16133	17578	301.6	221
EOG092C3F88	Complete	179_contig_41832_length	12151	14090	253.9	248
EOG092C3GCF	Missing
EOG092C3HLI	Complete	1066_contig_11545_length	2249	7164	345.2	370
EOG092C3IJW	Complete	153_contig_45416_length	38879	40276	434.6	292
EOG092C3JEN	Complete	320_contig_28520_length	6076	7446	444.3	274
EOG092C3JIJ	Complete	370_contig_26287_length	8419	12222	283.2	315
EOG092C3L9G	Complete	95_contig_89810_length	43831	45242	208.6	182
EOG092C3LZ4	Complete	177_contig_42080_length	26879	29936	354.2	301
EOG092C3MKB	Complete	281_contig_30538_length	8677	9937	287.6	244
EOG092C3MZF	Complete	240_contig_33670_length	22779	23757	109.5	63
EOG092C3N1W	Complete	1323_contig_9061_length	5257	7463	361.3	384
EOG092C3ND9	Complete	283_contig_30354_length	4381	5583	265.3	210
EOG092C3NTC	Complete	378_contig_25974_length	17185	19301	182.9	202
EOG092C3NVX	Complete	2709_contig_3134_length	1	1883	456.4	346
EOG092C3P8T	Complete	167_contig_43056_length	26419	27834	385.1	293
EOG092C3QQ6	Duplicated	105_contig_70343_length	61772	62878	410.6	265
EOG092C3QQ6	Duplicated	205_contig_37173_length	11972	13214	410.8	265
