SampleID	SPECIES	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Pct_reads_mapped	Average_Coverage
ARG085.dipspades	Chytriomyces_hyalinus_ARG085	1709	29903894	78	233201	5291	17497.89	176	50744	671	10019	83.8	69.7	14.1	2.4	13.8	290	6730138	5414570	80.5	27.0
ARG085.dipspades_sorted	Chytriomyces_hyalinus_ARG085	1409	29777168	881	233201	9036	21133.55	175	50756	661	10172	83.4	69.3	14.1	2.8	13.8	290	6730138	5212442	77.4	26.2
ARG085.sorted_shovill	Chytriomyces_hyalinus_ARG085	2956	38231708	804	248757	4556	12933.60	272	35089	1367	5080	90.7	65.5	25.2	2.4	6.9	290	6730138	6380751	94.8	25.0
ARG085.spades	Chytriomyces_hyalinus_ARG085	46255	43587820	78	524366	134	942.34	231	36446	10317	234	NA	NA	NA	NA	NA	NA	6730138	6586513	97.9	22.6
ARG085.spades_shovill	Chytriomyces_hyalinus_ARG085	2956	38235797	1000	248757	4556	12934.98	272	35089	1367	5080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARG085.spades_sorted	Chytriomyces_hyalinus_ARG085	2614	35997610	735	524367	3651	13771.08	149	58136	1058	5046	87.9	68.6	19.3	4.5	7.6	290	6730138	6204598	92.2	25.8
ARG121.dipspades	Chytriomyces_hyalinus_ARG121	1414	29621527	79	313321	7786	20948.75	158	53302	591	11632	86.5	71.0	15.5	4.5	9.0	290	7874598	5997497	76.2	30.3
ARG121.dipspades_sorted	Chytriomyces_hyalinus_ARG121	1197	29515939	1009	313320	11261	24658.26	159	52956	587	12021	86.9	71.7	15.2	4.1	9.0	290	7874598	6037652	76.7	30.6
ARG121.sorted_shovill	Chytriomyces_hyalinus_ARG121	2336	37614853	926	340795	5693	16102.25	234	43239	1048	6968	88.3	61.4	26.9	5.5	6.2	290	7874598	7600889	96.5	30.3
ARG121.spades	Chytriomyces_hyalinus_ARG121	29584	41003036	78	456354	155	1385.99	186	49114	3777	471	NA	NA	NA	NA	NA	NA	7874598	7742799	98.3	28.3
ARG121.spades_shovill	Chytriomyces_hyalinus_ARG121	2334	37616760	1000	340795	5679	16116.86	232	43733	1047	6955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARG121.spades_sorted	Chytriomyces_hyalinus_ARG121	2057	35794898	999	456354	4617	17401.51	141	63992	801	6926	88.9	64.8	24.1	3.8	7.3	290	7874598	7555361	95.9	31.6
Burma_1F.dipspades	Allomyces_arbuscula_Burma_1F	451	23930965	79	539987	16544	53062.01	44	161824	161	36699	81.4	78.6	2.8	4.1	14.5	290	8937610	7592546	85.0	47.5
Burma_1F.dipspades_sorted	Allomyces_arbuscula_Burma_1F	345	23861201	1019	539987	31295	69162.90	44	161824	161	36699	81.4	78.6	2.8	4.1	14.5	290	8937610	7189945	80.4	45.1
Burma_1F.spades	Allomyces_arbuscula_Burma_1F	2834	26928994	78	1040497	138	9502.12	26	317448	116	42117	NA	NA	NA	NA	NA	NA	8937610	8804528	98.5	49.0
Burma_1F.spades_TYJ	Allomyces_arbuscula_Burma_1F	3561	27012635	78	1040412	136	7585.69	42	195474	163	33390	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burma_1F.spades_sorted	Allomyces_arbuscula_Burma_1F	362	26482826	1017	1040497	14956	73156.98	26	317448	110	47545	92.1	88.3	3.8	2.8	5.1	290	8937610	8369520	93.6	47.2
CCIBt4013.sorted_shovill	Cladochytrium_tenue_CCIBt4013	15273	53665208	973	67601	2483	3513.73	3346	4653	11095	1621	51.8	39.0	12.8	25.5	22.7	290	45468338	40905910	90.0	115.1
CCIBt4013.spades	Cladochytrium_tenue_CCIBt4013	96304	66864715	69	46103	158	694.31	4900	3400	40171	202	NA	NA	NA	NA	NA	NA	45468338	43694267	96.1	98.7
CCIBt4013.spades_shovill	Cladochytrium_tenue_CCIBt4013	15273	53668900	1000	67605	2483	3513.97	3346	4653	11095	1621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCIBt4013.spades_sorted	Cladochytrium_tenue_CCIBt4013	12872	48957730	995	46103	2669	3803.43	2739	5135	9199	1750	56.9	44.1	12.8	25.5	17.6	290	45468338	39676559	87.3	122.4
California_12.dipspades	Allomyces_javanicus_California_12	1223	30159662	80	605211	2466	24660.39	86	104890	312	24472	87.9	80.0	7.9	2.8	9.3	290	13072956	11425033	87.4	56.7
California_12.dipspades_sorted	Allomyces_javanicus_California_12	763	29927322	1006	604837	13166	39223.23	85	104684	306	25286	88.6	81.0	7.6	2.8	8.6	290	13072956	10684960	81.7	53.5
California_12.spades	Allomyces_javanicus_California_12	59052	53140065	78	535567	210	899.89	1290	8975	25149	237	NA	NA	NA	NA	NA	NA	13072956	12774418	97.7	36.0
California_12.spades_TYJ	Allomyces_javanicus_California_12	61271	53451355	76	536037	203	872.38	1282	9118	25949	231	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
California_12.spades_sorted	Allomyces_javanicus_California_12	5011	39800891	985	535539	4270	7942.70	697	14074	2949	3300	81.1	64.5	16.6	10.7	8.2	290	13072956	11541493	88.3	43.5
JEL0065.dipspades	Siphonaria_sp._JEL0065	3173	37689356	505	119671	6765	11878.15	523	21877	1854	5270	80.7	65.9	14.8	6.2	13.1	290	4185320	3524897	84.2	14.0
JEL0065.dipspades_sorted	Siphonaria_sp._JEL0065	3109	37595823	1000	119661	7083	12092.58	522	21877	1847	5289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0065.sorted_shovill	Siphonaria_sp._JEL0065	3329	38210911	1000	154418	7849	11478.19	635	18576	2055	5564	76.6	62.1	14.5	5.9	17.5	290	4185320	3727219	89.1	14.6
JEL0065.spades	Siphonaria_sp._JEL0065	93929	56702431	71	185732	96	603.67	1058	13761	30635	120	NA	NA	NA	NA	NA	NA	4185320	4146522	99.1	11.0
JEL0065.spades_shovill	Siphonaria_sp._JEL0065	3329	38213462	1000	154418	7849	11478.96	635	18576	2055	5561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0065.spades_sorted	Siphonaria_sp._JEL0065	4501	45340565	1000	185732	5724	10073.44	704	18630	2552	4573	85.5	62.4	23.1	6.9	7.6	290	4185320	3978146	95.0	13.1
JEL0078.sorted_shovill	Nowakowskiella_sp._JEL0078	20091	42424587	904	63145	1637	2111.62	5667	2308	16196	1186	54.5	47.6	6.9	22.1	23.4	290	30112196	24544264	81.5	87.4
JEL0078.spades	Nowakowskiella_sp._JEL0078	1717993	225098188	65	63246	86	131.02	409576	117	1429404	78	NA	NA	NA	NA	NA	NA	30112196	25845359	85.8	17.3
JEL0078.spades_shovill	Nowakowskiella_sp._JEL0078	20090	42426762	1000	63145	1637	2111.83	5667	2308	16195	1186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0078.spades_sorted	Nowakowskiella_sp._JEL0078	14283	33052143	527	63246	1746	2314.09	3774	2655	11275	1215	58.0	49.7	8.3	20.0	22.0	290	30112196	23792585	79.0	108.7
JEL0095.dipspades	Thoreauomyces_humboldtii_JEL0095	2567	25631903	90	181830	4859	9985.16	324	22605	1188	5742	86.2	81.7	4.5	3.4	10.4	290	24506232	17413902	71.1	102.6
JEL0095.dipspades_sorted	Thoreauomyces_humboldtii_JEL0095	1958	25381634	1000	181842	7877	12963.04	319	23339	1150	6087	86.2	81.7	4.5	2.8	11.0	290	24506232	17345681	70.8	103.2
JEL0095.sorted_shovill	Thoreauomyces_humboldtii_JEL0095	2432	26537649	1003	89615	6303	10911.86	380	19667	1402	4890	86.5	81.7	4.8	3.4	10.1	290	24506232	19926668	81.3	113.4
JEL0095.spades	Thoreauomyces_humboldtii_JEL0095	11753	28120348	77	136349	155	2392.61	365	21390	1572	2999	NA	NA	NA	NA	NA	NA	24506232	20398299	83.2	109.5
JEL0095.spades_shovill	Thoreauomyces_humboldtii_JEL0095	2431	26539216	1003	89615	6303	10917.00	379	19685	1401	4890	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JEL0095.spades_sorted	Thoreauomyces_humboldtii_JEL0095	2118	26328562	1000	136349	7051	12430.86	325	23424	1194	5819	87.6	82.8	4.8	3.1	9.3	290	24506232	19806221	80.8	113.6
JEL0112.spades	Entophlyctis_sp._JEL0112	80622	36534096	73	257584	94	453.15	285	28359	37057	97	NA	NA	NA	NA	NA	NA	4611664	4576278	99.2	18.7
JEL0112.spades_sorted	Entophlyctis_sp._JEL0112	1559	26962970	1000	257584	5677	17295.04	154	48027	649	8974	79.3	64.8	14.5	9.0	11.7	290	4611664	4103280	89.0	22.8
JEL0117.dipspades	Rhizoclosmatium_sp._JEL0117	2822	31033076	78	190372	1634	10996.84	225	39470	817	8223	0.0	0.0	0.0	0.0	100.0	290	6322950	5316761	84.1	25.6
JEL0117.dipspades_sorted	Rhizoclosmatium_sp._JEL0117	1724	30544921	1001	190329	7275	17717.47	220	40205	771	9711	0.0	0.0	0.0	0.0	100.0	290	6322950	5123183	81.0	25.1
