# BUSCO version is: 3.0.2 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /bigdata/stajichlab/shared/projects/Chytrid/Chytrid_Phylogenomics/LCG/Assembly/genomes/Nowakowskiella_sp._JEL0078.sorted_shovill.fasta -o Nowakowskiella_sp._JEL0078.sorted_shovill -l /bigdata/operations/pkgadmin/srv/projects/db/BUSCO/v9/fungi_odb9/ -m genome -c 4 -t /scratch/978240_34/ -sp batrachochytrium_dendrobatidis_G2
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C00SU	Complete	scaffold_257	1	7003	482.2	740
EOG092C00WD	Fragmented	scaffold_794	1	5050	654.9	581
EOG092C02J3	Complete	scaffold_914	1	4848	891.7	955
EOG092C038B	Fragmented	scaffold_4105	1	2726	388.2	344
EOG092C03KT	Complete	scaffold_2812	1	3236	365.2	396
EOG092C07CA	Complete	scaffold_613	157	4477	395.7	510
EOG092C08KH	Complete	scaffold_2614	1	3362	822.3	655
EOG092C097K	Complete	scaffold_22	118	3519	662.5	600
EOG092C0B3U	Complete	scaffold_3702	1	2876	397.9	508
EOG092C0BAH	Complete	scaffold_880	342	4900	491.3	642
EOG092C0BPW	Missing
EOG092C0C5J	Complete	scaffold_247	666	3612	935.2	703
EOG092C0C7Z	Missing
EOG092C0CHR	Fragmented	scaffold_4632	1	2560	540.6	470
EOG092C0CZK	Fragmented	scaffold_4794	1	2192	46.4	73
EOG092C0F0X	Complete	scaffold_996	747	4699	790.9	711
EOG092C0I1P	Complete	scaffold_463	1	2516	646.5	399
EOG092C0JYF	Fragmented	scaffold_13693	1	1182	180.3	172
EOG092C0K4D	Complete	scaffold_112	136	2998	612.7	612
EOG092C0KG1	Complete	scaffold_250	232	2471	376.5	600
EOG092C0KYA	Complete	scaffold_11102	1	1269	221.5	295
EOG092C0N3X	Complete	scaffold_5301	25	1989	387.7	473
EOG092C0OA7	Fragmented	scaffold_4665	1	2549	142.0	274
EOG092C0P21	Fragmented	scaffold_15224	1	1010	406.3	280
EOG092C0QZM	Complete	scaffold_112	3670	8584	727.8	692
EOG092C0RGR	Complete	scaffold_726	1880	5172	640.4	658
EOG092C0ROF	Fragmented	scaffold_1627	1	3130	226.2	330
EOG092C0ST1	Duplicated	scaffold_2204	110	2691	878.7	592
