# BUSCO version is: 3.0.2 
# The lineage dataset is: fungi_odb9 (Creation date: 2016-02-13, number of species: 85, number of BUSCOs: 290)
# To reproduce this run: python /opt/linux/centos/7.x/x86_64/pkgs/busco/3.0.2/scripts/run_BUSCO.py -i /bigdata/stajichlab/shared/projects/Chytrid/Chytrid_Phylogenomics/LCG/Assembly/genomes/Nowakowskiella_sp._JEL0774.spades_sorted.fasta -o Nowakowskiella_sp._JEL0774.spades_sorted -l /bigdata/operations/pkgadmin/srv/projects/db/BUSCO/v9/fungi_odb9/ -m genome -c 4 -t /scratch/978385_23/ -sp batrachochytrium_dendrobatidis_G2
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG092C00SU	Complete	scaffold_60	12225	22547	551.7	701
EOG092C00WD	Fragmented	scaffold_3504	1	1254	207.8	137
EOG092C02J3	Complete	scaffold_139	52478	58621	1029.2	1029
EOG092C038B	Complete	scaffold_102	21138	27970	499.8	533
EOG092C03KT	Complete	scaffold_50	59875	65648	378.6	406
EOG092C07CA	Complete	scaffold_2	134167	138430	351.0	476
EOG092C08KH	Complete	scaffold_41	24502	30973	801.5	767
EOG092C097K	Complete	scaffold_26	21299	32324	695.9	578
EOG092C0B3U	Missing
EOG092C0BAH	Complete	scaffold_130	42122	50877	721.0	734
EOG092C0BPW	Missing
EOG092C0C5J	Complete	scaffold_60	119949	123176	783.6	689
EOG092C0C7Z	Missing
EOG092C0CHR	Complete	scaffold_51	57625	66670	1084.4	769
EOG092C0CZK	Complete	scaffold_63	116868	124037	208.6	515
EOG092C0F0X	Complete	scaffold_4	88711	92533	730.8	683
EOG092C0I1P	Complete	scaffold_10	103539	106339	935.0	550
EOG092C0JYF	Fragmented	scaffold_1793	1	2632	224.5	401
EOG092C0K4D	Fragmented	scaffold_2369	1	1636	231.1	200
EOG092C0KG1	Complete	scaffold_9	72506	74859	337.5	577
EOG092C0KYA	Missing
EOG092C0N3X	Complete	scaffold_19	52575	57523	481.6	426
EOG092C0OA7	Complete	scaffold_11	34940	39144	236.5	524
EOG092C0P21	Fragmented	scaffold_19	44500	54519	624.4	613
EOG092C0QZM	Complete	scaffold_79	94379	98158	695.7	601
EOG092C0RGR	Fragmented	scaffold_2157	1	2190	408.2	332
EOG092C0ROF	Fragmented	scaffold_2709	1	1725	172.2	231
EOG092C0ST1	Fragmented	scaffold_974	2533	4339	273.5	256
EOG092C0TYK	Fragmented	scaffold_60	22672	29066	171.8	222
EOG092C0U5S	Complete	scaffold_60	22672	33369	386.3	455
EOG092C0UR7	Fragmented	scaffold_41	1	6291	417.4	306
EOG092C0VEN	Missing
EOG092C0WBD	Missing
EOG092C0WZC	Complete	scaffold_124	57846	62337	453.0	385
EOG092C0XD0	Fragmented	scaffold_2340	865	1971	103.6	101
EOG092C0Y9M	Missing
EOG092C0YZZ	Complete	scaffold_51	89164	92941	742.0	486
EOG092C0ZT0	Complete	scaffold_197	1627	9784	440.2	422
EOG092C11L7	Complete	scaffold_85	4960	9060	574.8	439
EOG092C11NN	Complete	scaffold_699	1	2245	688.9	402
EOG092C121R	Fragmented	scaffold_1784	426	2646	165.3	182
EOG092C12O0	Complete	scaffold_130	22593	25162	751.6	443
EOG092C12WO	Complete	scaffold_2	71930	75716	259.6	430
EOG092C19ZG	Complete	scaffold_22	84644	94421	1146.4	847
EOG092C1AHP	Complete	scaffold_14	120593	126812	217.9	433
EOG092C1F4W	Complete	scaffold_55	111657	114519	896.2	458
EOG092C1FRM	Missing
EOG092C1ILX	Complete	scaffold_97	7615	14263	142.5	206
EOG092C1JHE	Complete	scaffold_236	3565	8919	158.4	216
EOG092C1KCQ	Complete	scaffold_15	49579	53056	577.6	427
EOG092C1KNC	Missing
EOG092C1M1S	Complete	scaffold_94	13926	16802	322.4	402
EOG092C1O5L	Complete	scaffold_88	15112	17959	495.4	405
EOG092C1OUP	Complete	scaffold_9	99499	108145	314.2	477
EOG092C1PRY	Complete	scaffold_94	57813	60336	471.7	373
EOG092C1RXZ	Complete	scaffold_50	71695	75363	329.0	370
EOG092C1TLO	Complete	scaffold_42	143752	148223	306.5	484
EOG092C1U6R	Complete	scaffold_1160	1	3746	573.4	388
EOG092C1UDO	Complete	scaffold_960	381	3789	330.4	279
EOG092C1URX	Complete	scaffold_605	3134	6168	594.1	366
EOG092C1VMQ	Fragmented	scaffold_1750	1	2516	430.0	287
EOG092C1VT8	Complete	scaffold_154	11089	13943	634.5	392
EOG092C1W1B	Complete	scaffold_95	17563	24378	561.2	501
EOG092C1WBG	Complete	scaffold_43	146670	151877	259.9	440
EOG092C1YG7	Complete	scaffold_32	127658	130799	354.6	285
EOG092C1ZRG	Missing
EOG092C20OL	Complete	scaffold_986	1	4308	276.3	290
EOG092C21L2	Complete	scaffold_6	233097	235118	624.1	410
EOG092C221B	Complete	scaffold_27	85230	91764	106.6	154
EOG092C22C1	Complete	scaffold_1	54195	56187	528.3	373
EOG092C236M	Complete	scaffold_9	243684	246747	522.5	436
EOG092C23X9	Fragmented	scaffold_15	170754	179980	375.2	328
EOG092C24CZ	Missing
EOG092C24GU	Fragmented	scaffold_103	60866	71899	317.8	325
EOG092C27SX	Complete	scaffold_16	168866	171050	214.3	250
EOG092C28F5	Complete	scaffold_78	28422	30511	538.1	301
EOG092C28I3	Complete	scaffold_23	19119	22286	971.4	635
EOG092C2D1V	Complete	scaffold_26	76702	78834	672.5	431
EOG092C2DPS	Complete	scaffold_4	112052	118040	467.3	352
EOG092C2GKC	Complete	scaffold_25	136544	138945	489.9	364
EOG092C2GWG	Complete	scaffold_103	56444	59392	91.4	105
EOG092C2HER	Complete	scaffold_113	37679	40549	243.0	221
EOG092C2IFF	Missing
EOG092C2IG9	Complete	scaffold_76	20634	24547	242.8	201
EOG092C2JLG	Complete	scaffold_12	12843	17883	224.9	184
EOG092C2LSI	Complete	scaffold_92	55638	58277	279.4	204
EOG092C2M8E	Complete	scaffold_250	9856	15062	74.5	197
EOG092C2MTS	Complete	scaffold_35	8752	11578	237.9	271
EOG092C2OKO	Duplicated	scaffold_378	7744	10431	588.3	360
EOG092C2OKO	Duplicated	scaffold_771	1	4215	584.5	333
EOG092C2Q7B	Missing
EOG092C2Q7F	Complete	scaffold_129	26532	29513	619.5	438
EOG092C2RKX	Complete	scaffold_26	29360	34592	178.7	209
EOG092C2S2R	Fragmented	scaffold_50	4958	17416	128.2	178
EOG092C2S9V	Fragmented	scaffold_2377	1	893	259.9	213
EOG092C2SCC	Fragmented	scaffold_1624	1	1823	329.8	193
EOG092C2SEF	Missing
EOG092C2SKV	Fragmented	scaffold_3863	126	895	64.8	63
EOG092C2SMS	Missing
EOG092C2TXG	Complete	scaffold_257	10532	12991	341.5	380
EOG092C2UIQ	Complete	scaffold_176	23299	25464	453.4	387
EOG092C2V3O	Complete	scaffold_1041	347	3575	581.0	347
EOG092C2VGW	Complete	scaffold_210	20984	24796	273.9	283
EOG092C2VJL	Complete	scaffold_497	1765	4635	424.2	319
EOG092C2X60	Complete	scaffold_126	26227	28209	85.9	136
EOG092C2X6U	Fragmented	scaffold_281	1	6446	364.4	229
EOG092C2YBO	Fragmented	scaffold_11	237626	246859	425.3	282
EOG092C2Z4E	Fragmented	scaffold_122	57420	59094	114.7	162
EOG092C2ZCA	Duplicated	scaffold_406	4071	6201	403.7	302
EOG092C2ZCA	Duplicated	scaffold_561	1361	2933	412.5	302
EOG092C317A	Complete	scaffold_56	20795	22588	385.2	294
EOG092C31ZS	Complete	scaffold_53	140942	142688	451.3	360
EOG092C330M	Complete	scaffold_145	28862	30645	330.1	264
EOG092C33JO	Complete	scaffold_1	392757	394928	350.1	300
EOG092C34FN	Complete	scaffold_195	25768	32198	298.8	241
EOG092C34KH	Missing
EOG092C355W	Fragmented	scaffold_2521	1	1866	185.1	240
EOG092C35RK	Complete	scaffold_98	28753	31699	277.3	238
EOG092C35SR	Complete	scaffold_130	6780	11643	542.1	381
EOG092C36CW	Complete	scaffold_55	76912	78608	451.9	276
EOG092C36IX	Complete	scaffold_7	230681	233004	281.1	296
EOG092C36RH	Complete	scaffold_154	29491	35656	251.4	282
EOG092C3703	Missing
EOG092C37AK	Complete	scaffold_72	47864	50538	404.8	255
EOG092C38HU	Missing
EOG092C3D5H	Fragmented	scaffold_1597	1	399	143.3	84
EOG092C3DT5	Missing
EOG092C3DV0	Complete	scaffold_70	9882	12271	290.2	244
EOG092C3ENF	Missing
EOG092C3F88	Fragmented	scaffold_2	91392	100715	89.5	152
EOG092C3GCF	Complete	scaffold_260	5886	9670	259.7	306
EOG092C3HLI	Complete	scaffold_5	279277	283939	341.5	300
EOG092C3IJW	Complete	scaffold_10	270927	273207	420.7	288
EOG092C3JEN	Complete	scaffold_2022	275	2272	379.3	268
EOG092C3JIJ	Complete	scaffold_36	163200	170689	221.9	278
EOG092C3L9G	Complete	scaffold_92	75765	77005	199.8	157
EOG092C3LZ4	Complete	scaffold_33	104848	108341	326.6	301
EOG092C3MKB	Complete	scaffold_68	11308	13098	278.4	241
EOG092C3MZF	Complete	scaffold_4	75856	76856	87.4	60
EOG092C3N1W	Complete	scaffold_14	190352	197543	296.1	425
EOG092C3ND9	Complete	scaffold_146	17402	19334	244.2	212
EOG092C3NTC	Missing
EOG092C3NVX	Missing
EOG092C3P8T	Complete	scaffold_96	13714	15598	360.2	290
EOG092C3QQ6	Missing
EOG092C3RZP	Missing
EOG092C3SC6	Complete	scaffold_19	49889	52093	273.1	207
EOG092C3TX5	Complete	scaffold_46	135561	136926	167.8	156
EOG092C3VJP	Complete	scaffold_106	22092	25533	135.1	168
EOG092C3WW5	Complete	scaffold_55	92101	102232	61.0	156
EOG092C3Z6E	Complete	scaffold_708	401	5467	184.6	240
EOG092C3ZSC	Complete	scaffold_87	43490	44168	170.0	147
EOG092C40AW	Complete	scaffold_133	17092	19291	433.7	265
EOG092C410Y	Complete	scaffold_213	14677	19442	201.1	164
EOG092C42ZN	Missing
EOG092C441A	Fragmented	scaffold_2510	396	1876	130.3	129
EOG092C44EY	Complete	scaffold_261	6137	17373	323.1	260
EOG092C44LK	Complete	scaffold_47	107952	118698	127.3	103
EOG092C44YB	Complete	scaffold_44	21975	23488	293.4	309
EOG092C46M0	Complete	scaffold_264	13841	15027	245.6	188
EOG092C46VR	Complete	scaffold_11	120730	122194	131.9	161
EOG092C47TW	Complete	scaffold_32	21056	23391	70.5	110
EOG092C481U	Missing
EOG092C484E	Complete	scaffold_89	75352	78239	261.7	207
EOG092C48JI	Complete	scaffold_27	26581	27646	178.1	152
EOG092C495C	Complete	scaffold_20	151391	158223	145.3	137
EOG092C4A9Y	Complete	scaffold_76	55856	59879	159.1	210
EOG092C4AQW	Missing
EOG092C4AZQ	Complete	scaffold_129	33805	35490	293.1	191
EOG092C4BDP	Complete	scaffold_129	12255	14726	330.3	198
EOG092C4C2A	Complete	scaffold_9	257077	260537	171.9	121
EOG092C4CCH	Complete	scaffold_27	122975	124281	339.4	187
EOG092C4CGV	Complete	scaffold_9	178349	186246	146.7	150
EOG092C4CNP	Fragmented	scaffold_2605	1	1200	87.1	120
EOG092C4D28	Complete	scaffold_30	138523	141105	230.0	177
EOG092C4D5B	Complete	scaffold_3617	1	1144	250.9	207
EOG092C4DAK	Complete	scaffold_1054	2112	3744	223.4	188
EOG092C4EGW	Complete	scaffold_11	130327	132782	429.6	344
EOG092C4F6L	Complete	scaffold_101	74691	77033	314.4	171
EOG092C4FRI	Missing
EOG092C4FYC	Complete	scaffold_693	1337	2988	340.9	198
EOG092C4H6Z	Missing
EOG092C4HB9	Missing
EOG092C4HDL	Missing
EOG092C4IM8	Complete	scaffold_697	679	1825	305.7	202
EOG092C4IR2	Fragmented	scaffold_1620	1	401	79.5	87
EOG092C4IT1	Duplicated	scaffold_13	137340	138443	241.0	252
EOG092C4IT1	Duplicated	scaffold_13	138551	140151	234.5	252
EOG092C4IV8	Missing
EOG092C4IXB	Missing
EOG092C4IYM	Complete	scaffold_2780	147	1118	46.9	214
EOG092C4JA1	Complete	scaffold_7	238661	241321	182.0	127
