SPECIES,STRAIN,PHYLUM,BIOSAMPLE,BIOPROJECT,SRA,LOCUSTAG
Chytriomyces hyalinus,ARG085,Chytridiomycota,SAMN05920684,PRJNA346871,SRS2492924,BJ741
Chytriomyces hyalinus,ARG121,Chytridiomycota,SAMN05920684,PRJNA346871,SRS2492924,BJ741
Siphonaria sp.,JEL0065,Chytridiomycota,SAMN00709033,PRJNA619581,SRS257076,HDU68
Entophlyctis sp.,JEL0112,Chytridiomycota,SAMN05444511,PRJNA331558,SRS1934093,BC831
Chytriomyces hyalinus,JEL0117,Chytridiomycota,SAMN05920684,PRJNA346871,SRS2492924,BJ741
Entophlyctis luteolus,JEL0120,Chytridiomycota,SAMN05444511,PRJNA331558,SRS1934093,BC831
Entophlyctis luteolus,JEL0129,Chytridiomycota,SAMN05444511,PRJNA331558,SRS1934093,BC831
Chytriomyces hyalinus,JEL0176,Chytridiomycota,SAMN05920684,PRJNA346871,SRS2492924,BJ741
Chytriomyces hyalinus,JEL0345,Chytridiomycota,SAMN05920684,PRJNA346871,SRS2492924,BJ741
Geranomyces variabilis,JEL0379,Chytridiomycota,SAMN05445907,PRJNA334359,SRS1667305,BDZ88
Phlyctochytrium planicorne,JEL0388,Chytridiomycota,SAMN09072276,PRJNA462544,SRS3544117,
Geranomyces variabilis,JEL0389,Chytridiomycota,SAMN05445907,PRJNA334359,SRS1667305,BDZ88
Lobulomyces angularis,JEL0522,Chytridiomycota,SAMN12812364,PRJNA572147,SRS5508264,
Geranomyces michiganensis,JEL0563,Chytridiomycota,SAMN05445907,PRJNA334359,SRS1667305,BDZ88
Geranomyces variabilis,JEL0566,Chytridiomycota,SAMN05445907,PRJNA334359,SRS1667305,BDZ88
Geranomyces variabilis,JEL0567,Chytridiomycota,SAMN05445907,PRJNA334359,SRS1667305,BDZ88
Kappamyces sp.,JEL0680,Chytridiomycota,SAMN14534852,PRJNA619738,,HDU91
Paranamyces uniporus,JEL0695,Chytridiomycota,SAMN14511934,PRJNA619741,,HDU94
Gaertneriomyces sp.,JEL0708,Chytridiomycota,SAMN05444512,PRJNA331559,SRS1928817,BC832
Rhizophydium sp.,JEL0728,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Phlyctochytrium bullatum,JEL0754,Chytridiomycota,SAMN09072276,PRJNA462544,SRS3544117,
Rhizophlyctis rosea,JEL0764,Chytridiomycota,SAMN05920830,PRJNA346305,,BJ175
Nowakowskiella sp.,JEL0774,Chytridiomycota,SAMN05920925,PRJNA346292,,BJ162
Podochytrium sp.,JEL0797,Chytridiomycota,SAMN14534840,PRJNA619745,,HDU98
Rhizophydium sp.,JEL0801,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Rhizophydium sp.,JEL0829,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Blyttiomyces sp.,JEL0837,Chytridiomycota,SAMN05443170,PRJNA332782,SRS1674847,BDK51
Rhizophydium sp.,JEL0838,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Rhizophydium sp.,JEL0842,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Paraphysoderma sedebokerense,JEL0847,Blastocladiomycota,SAMN08241760,PRJNA392375,SRS2796213,
Rhizophydium sp.,JEL0866,Chytridiomycota,SAMN14534833,PRJNA619749,,HDV02
Rhizoclosmatium hyalinus,JEL0917,Chytridiomycota,SAMN05421919,PRJNA330693,SRS1581514,BCR33
Dinochytrium kinnereticum,KLL_TL_06062013,Chytridiomycota,SAMN14511961,PRJNA619580,,HDU67
Nowakowskiella sp.,JEL0078,Chytridiomycota,SAMN05920925,PRJNA346292,,BJ162
Thoreauomyces humboldtii,JEL0095,Chytridiomycota,,,,
Rhizophlyctis rosea,JEL0318,Chytridiomycota,SAMN05920830,PRJNA346305,,BJ175
Nowakowskiella sp.,JEL0407,Chytridiomycota,SAMN05920925,PRJNA346292,,BJ162
Lobulomyces sp.,JEL0476,Chytridiomycota,SAMN12812364,PRJNA572147,SRS5508264,
Physocladia obscura,JEL0513,Chytridiomycota,SAMN05920919,PRJNA346297,SRS2607750,BJ167
Irineochytrium annulatum,JEL0729,Chytridiomycota,,,,
Quaeritorhiza haematococci,JEL0916,Chytridiomycota,,,,
Boothiomyces macroporosum,PLAUS21,Chytridiomycota,,,,
Cladochytrium tenue,C_tenue,Chytridiomycota,SAMN05877945,PRJNA346872,SRS3125092,BJ742
Unknown unknown,JEL0888,Chytridiomycota,SAMN14208070,PRJNA608749,SRS6216614,
Borealophlyctis nickersoniae,WJD170,Chytridiomycota,,,,
